price,hours,minutes,credit_spent
24.46,13.0,15.0,1.0
19.6,6.0,57.0,0.0
19.6,5.0,21.0,0.0
19.6,6.0,0.0,0.0
24.46,13.0,54.0,1.0
44.75,45.0,30.0,1.0
46.56,55.0,5.0,1.0
39.19,48.0,13.0,1.0
39.15,24.0,39.0,1.0
17.14,24.0,56.0,1.0
34.29,22.0,31.0,1.0
33.55,28.0,56.0,1.0
17.46,12.0,42.0,1.0
13.22,6.0,23.0,0.0
2.76,1.0,3.0,0.0
19.59,10.0,48.0,1.0
13.96,9.0,49.0,0.0
31.49,17.0,23.0,1.0
34.99,11.0,52.0,1.0
13.96,8.0,16.0,0.0
31.49,18.0,0.0,1.0
17.46,11.0,56.0,0.0
14.69,8.0,36.0,0.0
17.49,11.0,13.0,0.0
14.69,14.0,45.0,0.0
17.46,13.0,46.0,0.0
24.49,17.0,17.0,1.0
14.69,11.0,59.0,0.0
12.24,7.0,32.0,0.0
14.69,18.0,21.0,0.0
14.69,15.0,3.0,0.0
17.14,12.0,5.0,0.0
13.96,6.0,29.0,0.0
20.99,45.0,58.0,1.0
17.46,13.0,7.0,0.0
11.99,8.0,45.0,0.0
17.46,11.0,1.0,0.0
11.99,9.0,16.0,0.0
13.96,8.0,26.0,0.0
17.46,9.0,32.0,0.0
12.24,5.0,19.0,0.0
21.06,10.0,0.0,1.0
20.96,24.0,29.0,1.0
19.99,21.0,55.0,1.0
33.07,29.0,55.0,1.0
33.57,26.0,34.0,1.0
28.99,24.0,48.0,1.0
36.99,36.0,27.0,1.0
43.99,41.0,32.0,1.0
46.99,41.0,13.0,1.0
24.49,18.0,10.0,1.0
31.84,26.0,9.0,1.0
29.39,29.0,22.0,1.0
29.39,25.0,9.0,1.0
31.84,26.0,47.0,1.0
14.69,6.0,12.0,0.0
14.69,5.0,43.0,0.0
14.69,6.0,17.0,0.0
23.51,17.0,45.0,1.0
6.36,1.0,39.0,0.0
12.77,3.0,43.0,0.0
25.47,22.0,29.0,1.0
29.4,24.0,17.0,1.0
17.56,22.0,49.0,0.0
17.56,27.0,4.0,0.0
33.07,29.0,57.0,1.0
17.56,26.0,29.0,0.0
20.96,45.0,68.0,1.0
21.55,21.0,57.0,1.0
20.99,27.0,55.0,1.0
17.56,23.0,5.0,0.0
21.55,20.0,20.0,1.0
21.55,19.0,52.0,1.0
22.35,11.0,49.0,1.0
13.22,10.0,28.0,0.0
17.14,9.0,17.0,0.0
13.12,10.0,24.0,0.0
26.94,27.0,57.0,1.0
13.96,9.0,24.0,0.0
13.96,6.0,17.0,0.0
17.46,10.0,55.0,0.0
14.69,12.0,43.0,0.0
24.46,25.0,44.0,1.0
14.69,15.0,2.0,0.0
39.13,24.0,31.0,1.0
13.96,6.0,56.0,0.0
13.96,7.0,5.0,0.0
20.96,34.0,30.0,1.0
20.99,9.0,3.0,1.0
31.49,20.0,37.0,1.0
20.99,11.0,49.0,1.0
14.5,10.0,45.0,0.0
17.46,11.0,24.0,0.0
17.46,16.0,31.0,0.0
20.96,27.0,40.0,1.0
19.84,23.0,46.0,0.0
17.46,11.0,57.0,0.0
17.46,14.0,26.0,0.0
20.96,38.0,41.0,1.0
24.49,17.0,54.0,1.0
